"","StateCodes","State","Region","Division","Coast","Great.Lakes","TotalC","TotalP","TotalE","TotalPrice","TotalC_Changes","TotalP_Changes","TotalE_Changes","TotalPrice_Changes","BiomassC","CoalC","CoalP","CoalE","CoalPrice","ElecC","ElecE","ElecPrice","FossFuelC","GeoC","GeoP","HydroC","HydroP","NatGasC","NatGasE","NatGasPrice","LPGC","LPGE","LPGPrice","GDP","Population","Year"
"1","AL","Alabama",3,6,1,0,1931522,1419613,21630.5,17.82,0,0,0,0,169088,718684,493094,2135.6,2.97,310023,7833,26.44,1785688,138,0,84919,8704,544405,3222.2,6.65,13088,316.7,24.2,176220.75,4785822,2010
"2","AK","Alaska",4,9,1,0,653221,1738207,6473.9,20.13,0,0,0,0,4178,14548,33556,49.9,3.43,21315,912.4,43.29,634777,153,0,13982,1433,334978,479.2,6.41,1353,35.6,26.79,54220,713856,2010
"3","AZ","Arizona",4,8,0,0,1383531,580948,19372.7,22.25,0,0,0,0,29289,457909,167930,829.1,1.81,248506,7058.8,28.4,1292346,339,0,64606,6622,336208,2198.8,6.86,7838,219.9,28.05,247333,2922297,2010
"4","AR","Arkansas",3,7,0,0,1120632,1247709,12269.4,16.9,0,0,0,0,94865,293689,718,510.6,1.74,164439,3393.3,21.57,909827,773,0,35697,3659,274774,1791.7,7.23,10016,224.3,22.4,104928.75,6411999,2010
"5","CA","California",4,9,1,0,7760629,2532205,117090,20.97,0,0,0,0,280124,54972,0,161.4,2.94,882107,33381.8,38.23,5741492,124981,12600,326152,33431,2325411,14914.1,6.97,63022,1669.8,27.58,1960935,37336011,2010
"6","CO","Colorado",4,8,0,0,1513547,2561459,16888.5,17.4,0,0,0,0,28210,382623,551825,609.9,1.59,180555,4786.2,26.9,1370758,721,0,15398,1578,510877,2574,6.6,16395,365.4,22.53,258148.25,5048575,2010
"7","CT","Connecticut",1,1,1,0,764970,203188,14245,25.62,0,0,0,0,35716,28711,0,99.1,3.45,103697,5283.1,50.95,562060,20,0,3811,391,203814,1743.7,8.86,9425,270.2,28.67,230357.25,3579345,2010
"8","DE","Delaware",3,5,1,0,250212,3575,3584.1,23.5,0,0,0,0,6901,30253,0,101.3,3.35,39599,1389.5,35.09,171414,414,0,0,0,56087,524.2,9.37,5323,145.8,27.4,57673.75,899731,2010
"9","FL","Florida",3,5,1,0,4282673,510201,59825.6,22.05,0,0,0,0,246789,637416,0,2218.8,3.48,788887,24459.8,31.01,3491560,9516,0,1731,177,1180462,7967.6,6.91,20915,606.1,28.98,729761.5,18852220,2010
"10","GA","Georgia",3,5,1,0,3100144,561796,37231.8,18.25,0,0,0,0,204742,767906,0,2993.6,3.9,479971,12409.5,26.07,2324200,300,0,32407,3322,541691,4545.8,8.66,22767,561.3,24.68,407999,9714464,2010
